,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
65,s66,Movie,Finding Your Feet,,,United Kingdom,"October 3, 2021",2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate."
91,s92,Movie,Dr. No,,,United Kingdom,"October 1, 2021",1962,PG,110 min,"Action, Adventure","On a mission in Jamaica, ultra-suave Agent 007 finds mad scientist Dr. No concocting a plot to derail the U.S. space program and take over the world."
96,s97,Movie,From Russia With Love,,,United Kingdom,"October 1, 2021",1964,PG,115 min,"Action, Adventure, Classics",Bond is back and he's paying the price for his previous adventure when SPECTRE lured him into a deadly trap to avenge the death of Dr. No. Will Bond's mission to find a Russian coding machine be his last?
97,s98,Movie,GoldenEye,,,"United Kingdom, United States","October 1, 2021",1995,PG-13,130 min,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base."
98,s99,Movie,Goldfinger,,,United Kingdom,"October 1, 2021",1965,PG,110 min,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth."
103,s104,Movie,License to Kill,,,"United Kingdom, Mexico, United States","October 1, 2021",1989,PG-13,133 min,"Action, Adventure","This 16th James Bond outing finds Agent 007 defying his superiors and operating without his infamous “license to kill” when he takes revenge upon a Colombian drug kingpin, after the guy maims Bond’s best friend/former CIA agent and kills his new bride."
149,s150,Movie,The Spy Who Loved Me,,,United Kingdom,"October 1, 2021",1977,PG,126 min,"Action, Adventure","When British and Russian subs start vanishing, 007 teams up with Russia’s top spy to do battle with a menacing, steel-toothed, 7’2” henchman, Jaws, and thwart archvillain Karl Stromberg’s plans for destroying the world with nuclear bombs."
157,s158,Movie,Victor Frankenstein,,,"United Kingdom, Canada, United States","October 1, 2021",2015,PG-13,110 min,"Drama, Horror",The story of Frankenstein and his monster is brought to eye-popping new life in this lavish update with Daniel Radcliffe and James McAvoy.
279,s280,Movie,Hoosiers,,,"United Kingdom, United States","September 1, 2021",1986,PG,115 min,"Drama, Sports",Gene Hackman stars as a basketball coach who guides a tiny Indiana high-school team to a state title in this sports classic.
290,s291,Movie,Phase IV,,,"United Kingdom, United States","September 1, 2021",1974,PG,83 min,"Horror, Science Fiction, Thriller",Ecological suspense tale about a strange biological imbalance creating super intelligent ants which attack a scientific installation in the Arizona desert.
1033,s1034,TV Show,Hollyoaks,,,United Kingdom,"January 18, 2021",1995,TV-PG,2 Seasons,"Drama, International, Romance","Hollyoaks is a glossy, fast-paced and engaging drama. Featuring top class acting and witty, evocative writing; the show has constantly raised the bar for teen entertainment."
1036,s1037,TV Show,Coronation Street,,,United Kingdom,"January 15, 2021",1960,TV-PG,2 Seasons,"Drama, International","Britain's favorite drama series Coronation Street is loved by millions of fans worldwide. For five decades we have been gripped by the domestic dramas of these ordinary people on the fictional cobbled street in Manchester. The roll call of iconic characters over the years is endless, with approximately 5,000 characters. The street has seen it all, from affairs of the heart to domestic disasters. With over 7,500 episodes there have been 39 births, 120 deaths and 88 weddings."
1066,s1067,TV Show,Call Me Kat,,,"United Kingdom, United States","January 4, 2021",2021,TV-PG,1 Season,"Comedy, Sitcom","In an effort to prove to her mother – and society – that it's possible to be single at 39 and still be happy, Kat spends her entire savings to open a cat café in Louisville, Ky."
1070,s1071,Movie,Diary of a Wimpy Kid,,,"United States, United Kingdom","January 1, 2021",2010,PG,93 min,"Comedy, Family, Kids",A sixth grader attempts to find his place in the gawky adolescent world of junior high in this family film.
1128,s1129,Movie,The Secret Garden,,,"United Kingdom, France, United States, China","December 6, 2020",2020,PG,100 min,"Drama, Family, Science Fiction","A new take on the beloved classic novel, a young orphan girl who, after being sent to live with her uncle, discovers a magical garden on the grounds of his estate."
1522,s1523,Movie,Superpower Dogs,,,United Kingdom,"July 11, 2020",2019,G,46 min,"Documentaries, Kids","Follow six dogs and their human partners as they brave earthquakes and avalanches, protect endangered species and help people with special needs."
1588,s1589,Movie,Pan,,,"United States, United Kingdom, Australia","June 14, 2020",2015,PG,112 min,"Action, Adventure, Family",Hugh Jackman stars in this magical adaptation of 'Peter Pan' that finds Peter up against devious pirate Blackbeard.
1611,s1612,TV Show,Where's Waldo?,,,"United States, United Kingdom","June 7, 2020",2019,TV-Y,1 Season,"Action, Adventure, Family","Kid adventurers Waldo and Wenda are earning their stripes as junior members of an international travel society; but to complete their missions, these young Wanderers must face a rival globetrotter who uses magic to cause trouble all over the world."
1627,s1628,Movie,Happily N'Ever After,,,"United States, Germany, Canada, United Kingdom","June 1, 2020",2007,PG,87 min,"Action, Adventure, Comedy","When Cinderella's fairytale life takes a radical turn for the worse, she sheds her damsel-in-distress trappings and fights back against her power-mad stepmother!"
1740,s1741,Movie,The Queen of Versailles,,,"United States, Netherlands, United Kingdom, Denmark","April 8, 2020",2012,PG,101 min,Documentaries,The Queen of Versailles is a character-driven documentary about a billionaire family and their financial challenges in the wake of the economic crisis.
1794,s1795,TV Show,Britain's Best Home Cook,,,United Kingdom,"February 21, 2020",2018,TV-G,2 Seasons,"Cooking & Food, Lifestyle & Culture, Reality","Mary Berry, Dan Doherty and Chris Bavin search for the nation's best home cook."
2000,s2001,Movie,Denial,,,"United Kingdom, United States","November 4, 2019",2016,PG-13,110 min,Drama,A historian must battle for historical truth when she is sued for libel.
2010,s2011,Movie,Sinbad: Legend of the Seven Seas,,,"United States, United Kingdom, France","November 1, 2019",2003,PG,85 min,"Action, Adventure, Cartoons",Sinbad the sailor must retrieve the stolen Book of Peace from a goddess with a penchant for chaos in this mythological animated tale.
2014,s2015,Movie,Meeting Gorbachev,,,"United Kingdom, Germany, United States","October 30, 2019",2018,TV-PG,91 min,Documentaries,Werner Herzog meeting Mikhail Gorbachev opens a fresh door to some of the most significant happenings of the late 20th Century from nuclear disarmament to the reunification of Germany and the end of the Cold War.
2064,s2065,Movie,Teen Spirit,,,"United Kingdom, United States","September 30, 2019",2018,PG-13,93 min,"Drama, Family, Music","Violet (Elle Fanning) is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition."
2093,s2094,TV Show,Chuggington,,,United Kingdom,"September 1, 2019",2010,TV-Y,5 Seasons,Kids,"Wilson, Koko and Brewster are three young trainees that are on their way to becoming working trains!"
2163,s2164,TV Show,The Amazing World of Gumball,,,"United Kingdom, Ireland, United States, Germany, Japan, France","July 5, 2019",2011,TV-Y7,6 Seasons,"Cartoons, Comedy, Family","Gumball’s world is pretty run-of-the-mill. He’s chased around school by a T-Rex. He has a friend named Anton who’s a piece of toast. He’s got a crush on Penny, a peanut with antlers. His dad is a 6’4” bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here."
2262,s2263,Movie,Three Identical Strangers,,,"United Kingdom, United States","February 26, 2019",2018,PG-13,120 min,"Documentaries, Drama, History",Identical triplets become separated at birth and adopted by three different families.
2267,s2268,TV Show,Jamie's Quick & Easy Food,,,United Kingdom,"February 15, 2019",2017,TV-G,2 Seasons,"Cooking & Food, Lifestyle & Culture","Jamie Oliver makes it easier than ever to enjoy delicious home-cooked meals every day of the week, no matter how busy you are. Using just FIVE ingredients in every recipe, Jamie proves fantastic food isn’t about endless ingredient lists."
